#disease	phenotype	onset	frequency	severity
MONDO:0007043	HP:0010055			
MONDO:0007043	HP:0011304		HP:0040281	
MONDO:0007044	HP:0000006			
MONDO:0007044	HP:0000028			
MONDO:0007044	HP:0000135			
MONDO:0007044	HP:0000238			
MONDO:0007044	HP:0000248			
MONDO:0007044	HP:0000286			
MONDO:0007044	HP:0000303			
MONDO:0007044	HP:0000316			
MONDO:0007044	HP:0000327			
MONDO:0007044	HP:0000365			
MONDO:0007044	HP:0000455			
MONDO:0007044	HP:0000486			
MONDO:0007044	HP:0000635			
MONDO:0007044	HP:0000648			
MONDO:0007044	HP:0000668			
MONDO:0007044	HP:0000684			
MONDO:0007044	HP:0000689			
MONDO:0007044	HP:0000858			
MONDO:0007044	HP:0000995			
MONDO:0007044	HP:0001169			
MONDO:0007044	HP:0001249			
MONDO:0007044	HP:0001530			
MONDO:0007044	HP:0001847			
MONDO:0007044	HP:0002650			
MONDO:0007044	HP:0003083			
MONDO:0007044	HP:0003165			
MONDO:0007044	HP:0003416			
MONDO:0007044	HP:0004279			
MONDO:0007044	HP:0004490			
MONDO:0007044	HP:0005280			
MONDO:0007044	HP:0005616			
MONDO:0007044	HP:0005756			
MONDO:0007044	HP:0008450			
MONDO:0007044	HP:0008479			
MONDO:0007044	HP:0008873			
MONDO:0007044	HP:0009803			
MONDO:0007044	HP:0010049			
MONDO:0007044	HP:0010230			
MONDO:0007044	HP:0010743			
MONDO:0007045	HP:0000006			
MONDO:0007045	HP:0000028		HP:0040282	
MONDO:0007045	HP:0000047		HP:0040283	
MONDO:0007045	HP:0000252		HP:0040281	
MONDO:0007045	HP:0000349			
MONDO:0007045	HP:0000670		HP:0040281	
MONDO:0007045	HP:0000954			
MONDO:0007045	HP:0001511		HP:0040282	
MONDO:0007045	HP:0004279		HP:0040281	
MONDO:0007045	HP:0004467		HP:0040282	
MONDO:0007046	HP:0000006			
MONDO:0007046	HP:0002213			
MONDO:0007046	HP:0012393			
MONDO:0007046	HP:0200034			
MONDO:0007046	HP:0200035			
MONDO:0007047	HP:0000006			
